,sentences
1060,"That is because two non-rational actors got together and tried to come up with a rational thought and belief, but failed miserably."
1061,"It cannot be overstated how much the Sinful Nature/Emotion alliance negatively affects the thoughts, thinking, and beliefs of humans."
1062,"Of course, we are not discussing an occasional odd belief, since there are many reasons for those."
1063,"A person gets into such a condition by making wrong decisions, one after another."
1064,"Rejection of God and His Word is a primary cause, but not the only one."
1065,People who reject God must approach life using their Heart and Mind to understand what God has designed into the universe as proper thinking and beliefs based on what seems to work out well.
1066,There is a cause-and-effect system built into God's design.
1067,"This usually starts out rather slowly, but builds into a hardened soul over time if it is not controlled."
1068,"Emotion must only come in after these primary soul players have first built a basis of understanding and wisdom, which leads to loving God."
1069,"At that point the Emotion can fulfill its true role to appreciate, rather than lead the soul and react."
1070,"After all, reality is obvious, is it not?"
1071,"The answer is that people who allow their Sinful Nature to take control of their Emotion on a regular basis will have a soul where the Heart is not in control, and therefore the Mind is suppressed from logical thinking."
1072,That means logic and rational thought is overcome by emotional feelings linked with beliefs based on premises which do not align with the truth and reality God has put in place.
1073,"This is why people can be so diametrically opposed in thinking, why they cannot see what you see so clearly, why people think in ways which do not appear to be real thoughts, and why there is such a political and social divide separating people from each other."
1074,"These are baffling to most people, and for good reason."
1075,Such thoughts and actions do not make sense.
1076,They are illogical and irrational.
1077,"A rational person would want to align themselves with reality and truth, which are ultimately from God."
1078,"But the seeds of revolt against God from the Sinful Nature assures that many people will reject the truth, whether it is the truth about God or the truth about social or political issues."
1079,"It is the Sinful Nature/Emotion alliance which makes feeling one's way through life into a belief system based not on thoughts, but on instincts, hunches, intuition, and other non-thinking approaches."
1080,"This alliance is not logical, it is reactive."
1081,"Of course, this is not an all-or-nothing issue, but rather a matter of degree."
1082,"For some it will be a little, and for others a lot more."
1083,"So this is the reason polarization is so rampant, because so many people have ceased thinking their way through life, and have substituted feeling their way along in a random manner, avoiding reality as they go."
1084,It is the story of human existence.
1085,Many wars have been fought over beliefs.
1086,The belief systems of dictators have squashed individual liberty 91 around the world.
1087,"The Sinful Nature causes serious distortions in thinking since it is not logical, but rather it is instinctive and deviant."
1088,"And recall that God did not give humans instincts to live by, but humans chose to add base instincts when they sinned."
1089,"The more a person gives in to these base instincts, the more illogical and deviant the thinking becomes."
1090,"And even animalistic, as we have seen."
1091,"It seeks to control the entire soul, and tries to distort or block belief in the truth."
1092,"Some people control it better than others, but all are subject to its influence."
1093,"Where there is illogical thought, the Sinful Nature is doing its work unhindered by the truth."
1094,"And when power is added to the equation, the corruption of thought is greatly enhanced."
1095,"Now that we have examined the basics of variability of beliefs, we will continue to explain what the Bible reveals about what happens to the soul when truth is rejected, how humans deal with the unreality they create in their belief systems, why polarization of beliefs is so harmful to societies and nations, and other related subjects."
1096,"We will also explore issues such as dreaming, dementia and Alzheimer's."
1097,"Much more to discuss about thoughts, thinking, and beliefs."
1098,"Next, we explore what most of the people around us actually believe."
1099,"However, there are surprisingly few."
1100,"And most primary belief systems center around self, family, religion, and causes."
1101,"The majority of people who have ever lived have utilized a very basic set of core beliefs, and do not think much about higher level issues."
1102,"In other words, the answer to the question which has been posed regarding what most humans believe is: ""the basics."""
1103,"Therefore most people who ever live will have done so under a system of beliefs focused on living a simple life at a rather low level of thinking and expectations, and therefore apart from God and His plan."
1104,"And it is not simply a matter of education levels, but rather is more about motivation to understand what life is about, and mainly comes down to a religion for most."
1105,"So when we refer to people engaging in higher order thoughts and beliefs it does not refer to the outcomes, but rather to the complexity of the thinking and believing processes involved."
1106,"Therefore the mental processes can be complex correct ones, or they can be complex yet flawed, or even complex and evil."
1107,It just means they are more complex.
1108,We will expand on this shortly.
1109,"The belief systems with the strongest influence over those who hold them center on religion, institutions, family, and self."
1110,"If a person becomes a Christian, that is a higher order belief system."
1111,"There are also higher order belief systems based on supporting causes which a person believes in deeply, whether focused on children or animals or the environment or whatever."
1112,"Those seeking power often have political belief systems, which are also complex."
1113,"Again, that does not imply good or bad, just complex."
1114,Thoughts and beliefs are powerful things because they result in an intensified form of motivation.
1115,"Now that we have that overview in mind, let us now take a look at the various forms of beliefs systems starting with the most basic and working up to the higher level ones."
1116,This belief system is an approach to life which has shown to enable survival and provide at least some level of stability and basic happiness.
1117,"Due to the curse put on the earth after the fall of humans in the Garden of Eden, humans are required to work hard and fight the cursed earth for survival."
1118,"The earth became unfriendly in many ways, and earning a living to care for family took most of one's efforts."
1119,"The remaining time was often spent doing chores and caring for family, plus trying to relax and avoid physical or mental exertion."
1120,The next work day will come around soon.
1121,"It is survival level living, thinking, and believing, which works well enough for most people."
1122,This is the level where most people live.
1123,"However, if someone takes this approach but also becomes a Christian or pursues another religion, the mixture of the simple life with complex beliefs about religion puts them into the higher order level of beliefs."
1124,Religion is a complex belief system.
1125,One might ask why people do not strive to think more complex thoughts and have higher order beliefs.
1126,"Life is a daily grind to feed, clothe, and shelter their family, with little time or funds remaining."
1127,"This daily grind uses most of the time, energy, and resources they have available, with very little left over."
1128,Others are just content to have basic beliefs to avoid complexity in the life.
1129,"Many reject religious beliefs, or are merely a joiner but not a practitioner."
1130,"19 Moreover, when God gives someone wealth and possessions, and the ability to enjoy them, to accept their lot and be happy in their toil—this is a gift of God."
1131,"20 They seldom reflect on the days of their life, because God keeps them occupied with gladness of heart."""
1132,"Having a family, work, the essentials of life, and being a good citizen can enable them to lead a rather normal and contented life."
1133,But then eternity is a different matter.
1134,"Some people prefer living at a basic level where they think in basic and repeatable ways, and purposely avoid dealing with complexity."
1135,Complex thoughts and beliefs require more complex coping systems to overcome the issues they bring with them.
1136,"Remember, this simple level of belief system does not apply to believers, since Bible beliefs are the highest level belief system, even if one lives rather simply."
1137,These people avoid deep thoughts in favor of the endless pursuit of pleasure.
1138,"And not all lusts are carnal, but rather many are based on self-righteousness."
1139,This form of avoidance is appealing to many who want to live simply yet not be tied to the order God ordained for humans.
1140,Other types of beliefs focus on elevating self far above all others.
1141,"For others, drugs can induce a belief of invincibility and superhuman powers."
1142,And politicians believe laws do not apply to them.
1143,"Taxing authorities believe your 95 money actually belongs to them, and only let you keep some of it out of generosity."
1144,It is one of the strongest belief systems among people.
1145,And it is based on an unrealistic and therefore false view of one's own importance.
1146,There are also plenty of criminals around who live life using a low level belief system.
1147,"The victims were too weak anyway, so they do not matter, so at least Darwin would approve."
1148,"Recall our discussion of how the original sin created the Sinful Nature, which brought animalistic instincts into the human soul."
1149,"Therefore many people are content to live at a basic level of thought and belief, which avoids complexity in the life."
1150,"That is happiness to them, or at least it works for them in some way."
1151,"But this is no excuse for refusing to think about God and the eternal future, since the most important beliefs in life revolve around these issues."
1152,"Let us pause and explain that these belief systems can be mixed and matched, with a person holding to some or all of several different types."
1153,Belief systems cannot be put into exact molds.
1154,"And there are many sub-categories of belief systems, but we are merely trying to give examples of what belief systems are most prevalent among humans."
1155,"Christians are certainly in this category, but also many others."
1156,"After all, nonsense can be more complex than the truth if someone works hard enough at developing it."
1157,"Higher level belief systems have key beliefs called ""ideology"" which dominate in the soul, and are the most deeply held components of one's beliefs."
1158,"And if a person starts with an ideology which is false, there is little hope for having a belief system which aligns with either reality or truth."
1159,The key is whether that ideology is correct or false.
1160,"We believe the ideology of the Christian Bible is true, so to the believer it is what drives every other subset belief."
1161,"We believe our belief system is both true and aligns with reality, because God created both truth and reality."
1162,"In our view, belief systems which do not align with the Bible are flawed to whatever degree they are in conflict."
1163,"Those who reject Biblical theology, such as all other religions, develop ideologies and use them as their basis for thought and beliefs, to various degrees of accuracy."
1164,Ideologies are powerful and persistent drivers of human action.
1165,"When ideologies are based on reality to a large degree they can be constructive, but when they are aligned with anything else they become destructive."
1166,Even Satan has an ideology focused on opposing God and avoiding his ultimate fate of being cast into the Lake of Fire forever.
1167,That ideology has been the basis for much human suffering.
1168,"Now that we have discussed the variety of belief systems, from simple to complex, we will next look at some of the distractions involved in forming belief systems, and why people succumb to them."
1169,"In ancient times it was easier to avoid complexity in life, since there were far fewer distractions available."
1170,But technology and other issues have changed that.
1171,"The less time spent in thinking, the more thinking becomes feared."
1172,"And so the 97 cycle of Distractionism repeats, over and over."
1173,"In fact, Distractionism is the number one impediment to a useful belief system in the world today."
1174,"Nothing wrong with using technology to enhance the life, or to play mindless games occasionally, but it is a matter of degree."
1175,"If technology is used to consistently avoid thinking and higher order beliefs, especially about God, then it has turned into Distractionism."
1176,"Additionally, social pressures keep some from rising above peers to avoid appearing snobbish, which would lead to rejection by their group."
1177,This often happens among friends and co- workers where there is a strong opposition to class differences.
1178,"But social pressure complicates life, so it is easier to stay within expected boundaries."
1179,"The list of reasons people use to avoid higher order thoughts and beliefs is long, but the point is they exist, and they do affect the belief systems of people."
1180,Therefore some choose to have a low level belief system because it suits them better for some reason or another.
1181,A person can live a simple life but have higher order beliefs.
1182,"This is not a commentary on lifestyles, but rather on beliefs."
1183,"And some people believe what others tell them they should believe, which is a loose form of group-thinking without a defined group."
1184,This is belief by popularity of ideas.
1185,"People look around and determine subjectively what others believe, or say they believe, and then accept them as true."
1186,Often the person joins a group and accepts the beliefs of that group.
1187,"That approach leads to decisions on beliefs based on fear of rejection, and one's own belief system is formed by group consensus."
1188,"This form of belief by popularity is very powerful, with very high pressure for conformance."
1189,"Their mantra is ""Believe as I do or get out of our group."""
1190,Social ostracism forces conformance and congruence of thought and belief.
1191,"This is often 98 called ""group-think"" but takes many forms, often subtle, and usually is enforced by expulsion from the group for lack of conformity."
1192,"We can see that this is a powerful belief system, but the beliefs themselves are often fungible and imprecise."
1193,"This belief system tends to drive the entire thought process, regardless of logic or rationality."
1194,"Whatever lines up with the party line is immediately accepted without scrutiny, debate, inspection, or thought of any kind."
1195,"The ""Party"" cannot be wrong, and it is the center of all beliefs for such a person."
1196,"If it sounds like a religion, that is correct, because it is a secular one."
1197,"Logic, science, and Biblical truth cannot penetrate the darkness of a party line belief system."
1198,"But a belief system does not need to be based on anything real, true, or factual."
1199,And it does.
1200,"The supposition is that these people have it all, so they should be happy."
1201,But they are not.
1202,"If a person with simple beliefs sees how people who ""have it all"" can be such sad examples of humanity, it makes them feel better by comparison."
1203,"So as long as people have someone to look down on, they have some measure of self-esteem."
1204,"This would be a belief system based on looking down on others by comparison, and elevating self without having to do anything."
1205,Just an observation.
1206,"One might think this would be a reasonable approach, and it can be as a part of one's belief system if the science is accurate."
1207,But science must be put into the proper perspective.
1208,"The phrase ""garbage in-garbage out"" was invented by scientists."
1209,"The process is dependent on people who must input facts, conditions and assumptions, who must use conjecture sparingly, and the variables must be highly controlled."
1210,"Therefore when someone says they rely on the science, we need to first know that they used highly accurate data and sufficiently controlled the important variables."
1211,"One variable is time, and the farther out the model projects the possible outcomes, the less accurate it will be."
1212,Therefore science can only explain a tiny bit of everything in the universe.
1213,"True science simply tries to understand what God has designed, without undue speculation."
1214,Belief systems are also formed based on supporting causes or trying to improve the world.
1215,They want to save something or help with something.
1216,"Radical environmentalism is one of the more popular examples, but there are many others."
1217,And they focus on it in a self-destructive way.
1218,"There is a way to support a cause which makes improvements, but there is also a way to use it to try to avoid the reality of missing out on the true meaning and purpose of life."
1219,"Being neutral in all situations is the goal, which is not the definition of the perfect human."
1220,"To them, nothing is worth taking a position to defend as right or wrong."
1221,The opposite is true.
1222,People without firm beliefs are empty shells without conviction or purpose.
1223,"But there is only one form of correct thoughts and beliefs, as outlined in the Bible."
1224,"No one fulfills this perfectly, except for Jesus Christ."
1225,"Christians have the opportunity to have correct thoughts and beliefs to the highest degree, but there are many levels of achievement among them."
1226,First we must choose to accept salvation by faith in Jesus Christ.
1227,"Then after we choose salvation, we are required to grow spiritually by learning the Word of God."
1228,We will expand on this one and only correct belief system later.
1229,"There are additional types of belief systems, but the purpose of this chapter is merely to provide some examples of the most popular ones, not to list or explain all of them."
1230,Or nonsensical.
1231,"And not everything is right or wrong, since some things are merely personal choices."
1232,"But it is the core beliefs which drive most people, if they have any."
1233,"For those who do not, they just muddle through life trying to avoid thinking too much or taking a firm position on anything."
1234,But let us pause for a moment and examine our purpose here.
1235,"Most people are generally just trying to make their way through life, to survive and also have some degree of comfort and happiness."
1236,"Whether they live at a low level of thoughts and beliefs, or something viewed as higher level, is not the point."
1237,"The issue is whether their thoughts and beliefs are in alignment with the truth, or an alternative route based on something else."
1238,"And there can only be one truly correct way, and it is found through the Bible."
1239,"And if a belief system does not lead to eternal life, what good is it?"
1240,"101 For those believers who focus on their spiritual life after salvation, their belief system will be based on the Word of God and doing what God wishes them to do."
1241,"Of course, there are various degrees of success in this path, and differences of opinion."
1242,"But for those believers who neglect or even reject their spiritual growth, they will live generally as the unbelievers live, with mixed-up thoughts and beliefs, even though they are saved."
1243,"For unbelievers, having rejected God and His gracious offer of salvation, they must find alternate paths in a search for happiness."
1244,"Some are content in this and live that life, while others seek ""meaning"" in life, since they do not have God to give them meaning, purpose and fulfillment."
1245,"Nothing wrong with that, except that it can distract from thinking about God and eternity."
1246,"This is where people form alternate belief systems designed to make them believe they are better, more advanced, or superior people."
1247,"They compare themselves to others, and especially those who believe and trust in God."
1248,"This often becomes a secular salvation by comparison approach, not of eternal salvation but a temporal salvation from guilt and despair over having no real purpose in life."
1249,"The only true sense of purpose, and the only belief system which has meaning, is the one which lines up with the plan of God."
1250,"That is, salvation, and living a spiritual life as outlined in the Word of God, thinking and believing as God has instructed us, living by the only source of truth, and having a meaningful life."
1251,"But for now, take a look around at the world, and you will see many bad examples of what people view as higher order belief systems."
1252,"There are those who set themselves up as elite members of the keepers of the truth as they view it, although they oppose Biblical truth."
1253,Politicians are often a good example of bad beliefs.
1254,"Power is their primary belief system, but only for themselves, not for the general population."
1255,"Truth is whatever they say it is, but they lie without apology, while truly believing their own lies."
1256,"Once again we see how higher order beliefs, although complex, can be destructive."
1257,And the world suffers as a result.
1258,We will now take a closer look at why people reject truth.
1259,"Recall that the Heart is not the Emotion as is often erroneously stated, but rather the thinking engine of the soul which interfaces with the outside world and with God."
1260,"God is the source of logic, and He has given it to humans as a gift."
1261,The issue of truth rejection or acceptance plays a major role in human thoughts and beliefs.
1262,"While there can be many reasons for occasionally rejecting truth, there are two overarching factors which cause persistent truth rejection, namely, existing core beliefs which do not align with truth, and distortions in the thinking processes."
1263,"When a person has distorted existing core beliefs, new thoughts and beliefs which oppose them are difficult to accept unless existing beliefs are first rejected or set aside."
1264,"And it is the core beliefs which are most important among all beliefs since they determine what will be accepted as true in the future, since a comparison is made with existing beliefs, and especially core beliefs, when new information is being considered."
1265,"Core beliefs strongly influence how a person views the world, spiritual issues, other people, and so on."
1266,Therefore changing incorrect core beliefs often takes a personal crisis or disaster.
1267,"As previously noted, beliefs are powerful things."
1268,"We will expand further on this issue over the next several chapters, and also look at the mechanisms people use to deflect and avoid truth and reality."
1269,"When people allow their Emotion to join the Sinful Nature in a revolt against the soul's Heart, alternate pathways in the soul are formed which by-pass the logical advisors as the source of logic and truth."
1270,This usually starts slowly and builds over time.
1271,"One result is arrogance, which is the biggest blinder of people."
1272,"And Satan's Cosmic System constantly promotes distortions and lies, feeding this alliance."
1273,"The result is rejection of truth in favor of Cosmic System lies, and the longer this continues, the more locked-in it becomes so that the person eventually lives in a state of unreality."
1274,"There are many lesser reasons such as misunderstandings and indifference, but our discussion relates to persistent and intentional refusal to accept that which is true."
1275,"Of course we recognize there are gray areas, but that is not a matter of truth and reality vs. lies and unreality, which is what we are discussing here."
1276,"We do not live in a perfect world, but there is truth, and there is reality."
1277,Humans have many forms of ideology which oppose truth.
1278,Such people look down on Christians for believing in God and believing in what the Bible reveals.
1279,"To them, they have evolved way beyond the need for God."
1280,They either deny God or say He cannot impose rules on them.
1281,They believe in themselves as a god who can control their own destiny.
1282,"Good or bad, moral or immoral, constructive or destructive, ideology will drive behavior in compelling ways."
1283,"That is because alternate beliefs which deny or avoid truth and reality cannot make sense of one's life, or understand what God has designed."
1284,"Arrogance is the biggest blinder of people, and it is a product of the Sinful Nature-Emotion alliance."
1285,"Look at Satan, who told himself he could ""be like the most high God"" and really believed it, and tried to overthrow God."
1286,And lies from such people are more likely to be accepted as true by the masses of people than the Bible.
1287,"Once again, combining the distortions of the Sinful Nature with the non-thinking Emotion will inevitably lead to the inability to accept the truth of either reality or God's Word due to the blinding effects of arrogance."
1288,"And when truth and reality are rejected, all that remains is varying forms of untruth and lies."
1289,"Unreality and lies will be accepted as true by someone, somewhere, and often by a lot of people everywhere."
1290,"Again, just take a look around at the state of the world."
1291,"When a maximum number of people in a society reject truth, all that is left for them to believe is the lies."
1292,People who see themselves as advanced humans due to progressiveness of their thoughts and beliefs hate the non-progressives.
1293,Then super-progressed people hate those who have only semi-progressed in beliefs.
1294,And on it goes.
1295,"Such people view themselves as thinking higher order thoughts and having higher order beliefs, but they actually engage in a very ancient practice of low level, and often criminal, thoughts and beliefs."
1296,"The lie is how Satan got his start, as he is called ""a liar from the beginning."""
1297,"The absurdity is apparent to all others, 106 but to the progressive initiants all they can see is superiority of self as an advanced life-form."
1298,"In other words, a lie."
1299,"We have seen how the enemy of reality in thought and beliefs is the Emotion aligned with the Sinful Nature, over-ruling the Mind and Heart to suppress thought and beliefs related to reality and truth."
1300,"The result is what we have today, a society of people who hate and lie and deceive and manipulate to get what they want, at the expense of innocent others, all due to the misguided self-delusion that they have progressed beyond formerly acceptable, but now outdated, beliefs."
1301,"Into this discord they exert themselves as power brokers and power seekers, in order to gain control over others they see as inferior."
1302,In this society and under this set of thoughts and beliefs there is no truth and nothing honorable.
1303,"Only hatred, self-promotion, greed, power lust, and lies."
1304,And Bible truth is one of the things such people hate most strongly.
1305,"In contrast the Bible emphasizes love as the basis for thinking, making Christianity the only belief system based on love."
1306,"These can include the fallacy that all opinions have equal value, so that the opinion of every person must be valued."
1307,That assumes there is no truth.
1308,"Of course, people who believe what is false should be encouraged to see why the truth is better."
1309,But opinions either line up with truth or they do not.
1310,"Opinions which are opposed to the truth are lies, and should be treated as such."
1311,"There is also a method of denying truth which says that if someone who is generally on the side of truth fails in some way, then all their beliefs are wrong."
1312,"This is often used on Christians, who are all sinners, but are often labeled hypocrites for being believers yet continue to sin."
1313,"This fallacy states that lies and truth cannot be sorted out since they are all mixed together, and since they cannot be perfectly sorted out, nothing can be viewed as reality or truth."
1314,God rejects relative comparisons as the method of separating truth from lies.
1315,"Truth is truth, and lies are lies."
1316,"Under this fallacy everything is relative, and no belief system is superior to any other."
1317,"But the Bible declares there is truth, and also that there is non-truth and/or lies, and that there is right and wrong."
1318,Note the emphasis on thinking.
1319,"""It"" is not all relative."
1320,"There is truth, and there are lies."
1321,"There are others, but these serve to illustrate various methods of denying, disregarding, and distorting the truth."
1322,"He was a murderer from the beginning, not holding to the truth, for there is no truth in him."
1323,"When he lies, he speaks his native language, for he is a liar and the father of lies."""
1324,"This makes the Emotion the wild card of the soul, sometimes aligning with 108 the logical advisors, and sometimes aligning with the Sinful Nature."
1325,"When the Heart of the soul is taken over by the Sinful Nature backed by the Emotion, the logical advisors of the soul, including the human spirit for the believer, are mostly shut off from influencing the Heart, while the Sinful Nature and Emotion take control of the soul."
1326,"This locks in a cycle of arrogance in the soul, which grows like a cancer if not stopped."
1327,Therefore the Sinful Nature aligned with the Emotion sets up roadblocks to truth.
1328,"The Sinful Nature teamed up with the wild card Emotion becomes the primary alternate pathway for expressions, and one of the main keys to understanding the issue of truth reception vs. rejection."
1329,"Therefore the Sinful Nature and Emotion end up doing the ""pseudo thinking"" for the person."
1330,"The distorter of the soul, the Sinful Nature allied with the Emotion, attempt to block logic in the Mind."
1331,"When a person gets into this hardened status in the soul, the Emotion can block the ability to believe even what the person would like to believe."
1332,"The Mind would normally look at truth and see it as worth believing, but the Emotion comes in and blocks acceptance."
1333,"Maybe just a little at first, or maybe a strong reaction due to some shock like the death of a loved one."
1334,"As the cycle continues, this reaction becomes more firmly set, and eventually no spiritual belief is even possible."
1335,"As they get older they may begin to think about their own death, and would like to explore salvation by faith in Christ."
1336,"This is why early consideration of the gospel message is important, before the soul becomes hardened."
1337,"This often results in a dual personality, sometimes mild or sometimes resulting in neurosis or psychosis."
1338,"Therefore this status is not necessarily all or nothing, so it can either be isolated to certain subject areas or it can be widespread."
1339,"There can be pockets of logic if the person has built up strong standards in certain areas, but the soul is still able to easily reject truth in the affected areas."
1340,"The Heart can only think and make good decisions by integrating the inputs from the various logical advisors such as the Conscience, Memory, and so on, but when it is by-passed by the Sinful Nature allied with the out of control Emotion, the person literally cannot think clearly about certain subjects, but can only emote within the cosmic system jumble of pseudo information and lies."
1341,"The person who emotes their way through life will especially reject the truth when it comes to issues which relate to God and other important information which Satan opposes, and that is another key to why truth is rejected."
1342,"Therefore Satan especially focuses on gaining advantages at certain strategic areas of life where power exists, such as politics and the media, since they are some of the most efficient and effective ways for Satan to broadcast lies into the general population."
1343,"Satan is the ""father of lies"" and Satan's Cosmic System is fueled by lies."
1344,"Remember why this matters to Satan, that he is highly focused on changing the outcome of his sentence to the Lake of Fire."
1345,Therefore Satan directs his lies toward the human race as he attempts to alter his decreed outcome.
1346,"Most people of the world are inside Satan's Cosmic System, and are therefore influenced by that system to promote Satan's lies, even though they would be shocked to understand that issue."
1347,Nothing can be proven to a person under such circumstances.
1348,"The Sinful Nature takes over to determine what is ""right"" so that wrong easily becomes right to that person as the Conscience becomes distorted."
1349,"If the soul is out of control, dominated by the Sinful Nature in alliance with the Emotion, they look arrogantly at the truth and call it a lie, and look at a lie and call it the truth."
1350,"The longer they do so, the easier it becomes."
1351,It is the answer to why people reject the truth in favor of the lie.
1352,It is the answer to why the Cosmic System is so popular among people.
1353,"This brings us to a central point about how salvation is accepted, and also how truth is acquired from the Bible."
1354,Faith is belief.
1355,Recall that is what this book is about.
1356,"Faith accepts from God what we do not deserve, including salvation and our spiritual life."
1357,"Faith believes that God, as the source of the Bible and salvation, is worth believing, that He is trustworthy, and that He tells the truth."
1358,"Faith is the only method authorized by God for acquiring spiritual information, and avoids merit and works by the recipient."
1359,"God specifically excluded salvation by the senses, by deep thinking using rationalism, or any form of proof since these are based on merit and individual effort."
1360,"Using such merit-based processes as a means for salvation would be patently unfair, since some would have inherent advantages over others."
1361,Therefore only the smartest and deepest thinkers would be saved.
1362,God rejects such unfairness.
1363,"Instead, salvation is by faith only, and the message of salvation can be easily understood by anyone who is willing to listen and consider it."
1364,"God does not allow His plan for salvation to be proven, and therefore requires that it must be accepted only by faith."
1365,"The faith of the person, 113 which is belief, is apart from any work or merit."
1366,"Therefore humans can take no credit for any part of salvation, leaving all the credit to Jesus Christ the Savior."
1367,He did the work.
1368,He gets the credit and glory.
1369,And therefore salvation is a free gift from God.
1370,"Humans must first think that salvation is by faith in Jesus Christ the only Savior, and then must believe it to be saved."
1371,"Beliefs come from thoughts, so thoughts and thinking precede beliefs."
1372,"We think it, then we believe it or reject it."
1373,"Our life is about choices, for or against God, for or against truth."
1374,"Without that belief, everything else is simply muddling through life in a manner which ultimately has no meaning beyond death."
1375,"OK, that was intense."
1376,It is time to have some fun.
1377,Let's discuss dreaming.
1378,"Why is it so odd, and disconnected from the reality of our waking life?"
1379,"Glad you asked, because it is a very interesting and even fun subject."
1380,"And although dreaming is somewhat related to our thoughts and beliefs, there are some odd twists and turns."
1381,"Science cannot figure out the sleep and dreaming issue, although they have tried very hard to do so."
1382,"That is because science does not believe in a human soul, and dreaming occurs in the soul."
1383,"Therefore dreaming helps to further reveal the presence of a soul in humans, for those willing to see it."
1384,Some truly bizarre.
1385,"Memories may not be accurately recalled, even though we know the reality very well when awake."
1386,"Time may be distorted, with the dreamer at a previous point in their life, or in the future."
1387,We go from one place to another without transportation.
1388,Things and people randomly appear and disappear.
1389,"We do odd, hazardous, and bizarre things which we would never do in real life."
1390,"We try to perform tasks which are easy for us, but we cannot."
1391,Absurdities abound.
1392,We get caught in do-loops.
1393,The laws of physics are suspended.
1394,We hardly recognize the person who is posing as us in our own dreams.
1395,"Humans are not animals as we have discussed, but let us start with how animals dream, which is very different than humans."
1396,"Animals can have ""brain dreams"" because they have no soul, but only about instinctive activities such as running, climbing and other muscle memory activities."
1397,"But since humans have almost no instincts except for a few in newborns, we cannot 115 dream from the brain."
1398,"For humans, dreaming is a soul activity, even though it seems like the soul has missing pieces."
1399,"In fact, it does have missing pieces during sleep and dreaming."
1400,"Actually, parts of the soul go offline during sleep, but not the entire soul all at once."
1401,"The first conclusion we reach is, once again, dreaming is a soul activity, not a brain activity."
1402,It is artistic.
1403,"It is escapism, an escape from toil and repetitive boredom."
1404,"If that means dreaming is about doing something different, then that is an understatement."
1405,"Therefore dreaming results when individual soul components begin exerting some flexibility to operate without full supervision from ""The Boss."""
1406,"That ""Boss"" is the Heart of the soul, the primary component of the soul which shuts down during the majority of sleep."
1407,The Heart is the part of the soul which is in charge.
1408,It makes the decisions and sends out the orders.
1409,It is the controller of the soul.
1410,"But when it shuts down to rest and do maintenance actions, the various other parts of the soul have some vacation time."
1411,There is no one to tell them what to do.
1412,And sometimes more than one soul component goes offline at the same time.
1413,This is why REM sleep dreams can be so different than dreams just before we wake in the morning.
1414,Different parts of the soul are offline at different points of the sleep cycle.
1415,Now for some examples to explain the previous assertions.
1416,"At one point it will be the Memory, or at least portions of it."
1417,"Sometimes the short term Memory is down, then other times longer term Memory, and other times archival Memory is down."
1418,This is why our memories during dreaming can be so far off from reality.
1419,"Soul components go into a ""power saving"" mode during sleep, including Memory which does not function as well during sleep."
1420,"In our dreams we may remember that we are in a certain job, but that might have been years ago."
1421,"But that does not stop us from dreaming about being in that job at the present time, but it may be mixed with later memories, such as being married."
1422,Then people who are now dead appear.
1423,"Therefore during sleep we can be at many different times and locations which occurred during our life, or at no time or location we have ever experienced."
1424,"If the Mind does not supply accurate time and location data, the Memory will invent it."
1425,This makes for some very odd dreams about time and location.
1426,"But it is not the same as being truly unconscious, where waking is difficult or even impossible."
1427,"Being unconscious is not sleep, and dreaming while unconscious probably does not occur, or maybe rarely based on the level of unconsciousness, which are not all the same."
1428,"Those things which affect the brain affect soul awareness, including sleep."
1429,"As mentioned earlier, we know that animals can dream."
1430,"Well, sort of."
1431,But not as humans do.
1432,"Animals dream in repetitive motion and instinctive ways from their sensory center, which is in the brain, and mainly as muscle memory."
1433,"They run away from danger, or chase other animals."
1434,They dream instinctive actions.
1435,But human dreams are not based on instincts or repetitive motion.
1436,"If we bolt upright, we are awake when it occurs."
1437,"Because my soul does not know how to swing a golf club, so it cleverly avoids the subject."
1438,"The soul cannot swing a golf club, but the brain can."
1439,It is the same with any complex repetitive motion sport.
1440,"The dream may include having done the action, but it does not include doing the action, not in any detail, at least."
1441,It would not be the complex scenarios humans dream about which cannot happen in real life.
1442,And so that explains the public nudity thingy.
1443,But only men admit to it.
1444,Women seem to have issues about the subject.
1445,Trick question.
1446,"That definition is OK to define the concept that such things occur, but there is no separate subconscious mind."
1447,"But since the Mind is not always active during sleep, the other components must either wait or invent an outrageous set of bizarre circumstances to fill in the blanks."
1448,"This background processing in the Mind is what some would call a subconscious, but it is actually just background processing inside the Mind."
1449,"Although different than dreaming, a human soul can become disoriented to reality during waking time in much the same way as in dreaming."
1450,"The Heart can be subverted, corrupted, or may abdicate its responsibilities while awake."
1451,Other soul components may abdicate their responsibilities.
1452,The soul can become dysfunctional.
1453,We will discuss these issues next.
1454,"It is a terrible thing for the person involved, and also for those who care about that person."
1455,"This chapter will cover some of the issues related to mental illness and associated maladies, and why they occur."
1456,"However, this chapter will only try to deal with what the Bible says about the subject, and will not attempt to cover the issues in any detail, which would require another book."
1457,"Having said that, the books which have been written on the subject mainly approach the issues from the viewpoint of a dysfunctional brain, not as soul issues."
1458,"A well-known Pastor from the 1800's, C.H."
1459,"Spurgeon, said of this issue: ""The mind can descend far lower than the body, for in it there are bottomless pits."
1460,"The flesh can bear only a certain number of wounds and no more, but the soul can bleed in ten thousand ways, and die over and over again."""
